Code,Name,Description,Material,Category,Profile,UOM,Price,Active,CostOfSaleAccount
"Gutter Alum Downspout 3"" Round","Gutter - Downspout 3"" Round","Gutter - Downspout 3"" Round",Aluminum,Downspout,,LF,21.82,TRUE,Misc. Subcontractor (COGS)
"Gutter Cpr Down 3"" Round","Gutter - Copper Downspout 3"" Round","Gutter - Downspout 3"" Round",Copper,Downspout,,LF,54.55,TRUE,Misc. Subcontractor (COGS)
Gutter Alum Down3x4 Smooth,Gutter - Downspout 3x4 Smooth Rectangular,Gutter - Downspout 3x4 Smooth Rectangular,Aluminum,Downspout,,LF,18.18,TRUE,Misc. Subcontractor (COGS)
Gutter Cpr Down3x4 Smooth X,Gutter - Copper Downspout 3x4 Smooth Rectangular,Gutter - Downspout 3x4 Smooth Rectangular,Copper,Downspout,,LF,54.55,TRUE,Misc. Subcontractor (COGS)
"Gutter Alum Down4"" Round","Gutter - Downspout 4"" Round","Gutter - Downspout 4"" Round",Aluminum,Downspout,,LF,36.36,TRUE,Misc. Subcontractor (COGS)
"Gutter Cpr Down4"" Round","Gutter - Copper Downspout 4"" Round","Gutter - Downspout 4"" Round",Copper,Downspout,,LF,63.64,TRUE,Misc. Subcontractor (COGS)
Gutter Alum Down4x6 Smooth,Gutter - Downspout 4x6 Smooth Rectangular,Gutter - Downspout 4x6 Smooth Rectangular,Aluminum,Downspout,,LF,40.00,TRUE,Misc. Subcontractor (COGS)
Gutter Cpr Down3x4 Smooth RVW1,Gutter - Copper Downspout 4x6 Smooth Rectangular,Gutter - Downspout 4x6 Smooth Rectangular,Copper,Downspout,,LF,72.73,TRUE,Misc. Subcontractor (COGS)
Gutter Alum Down Corrugated 3x4,Gutter - Downspout Corrugated 3x4,Gutter - Downspout Corrugated 3x4,Aluminum,Downspout,,LF,18.18,TRUE,Misc. Subcontractor (COGS)
Gutter Cpr Down Corrug 3x4,Gutter - Copper Downspout Corrugated 3x4,Gutter - Downspout Corrugated 3x4,Copper,Downspout,,LF,54.55,TRUE,Misc. Subcontractor (COGS)
Gutter Alum Down Corrugated 4x6,Gutter - Downspout Corrugated 4x6,Gutter - Downspout Corrugated 4x6,Aluminum,Downspout,,LF,21.82,TRUE,Misc. Subcontractor (COGS)
Gutter Cpr Down Corrug 4x6,Gutter - Copper Downspout Corrugated 4x6,Gutter - Downspout Corrugated 4x6,Copper,Downspout,,LF,63.64,TRUE,Misc. Subcontractor (COGS)
"Gutter Alum Fascia Style 5""","Gutter - Fascia Style 5""","Gutter - Fascia Style 5""",Aluminum,Gutter,"Fascia Style 5""",LF,25.45,TRUE,Misc. Subcontractor (COGS)
"Gutter Cpr Fascia Style 5""","Gutter - Copper Fascia Style 5""","Gutter - Fascia Style 5""",Copper,Gutter,"Fascia Style 5""",LF,63.64,TRUE,Misc. Subcontractor (COGS)
"Gutter Alum Cover 5""","Gutter - Gutter Cover 5""","Gutter - Gutter Cover 5""",Aluminum,Gutter Guard,,LF,14.55,TRUE,Misc. Subcontractor (COGS)
"Gutter Alum Cover 6""","Gutter - Gutter Cover 6""","Gutter - Gutter Cover 6""",Aluminum,Gutter Guard,,LF,14.55,TRUE,Misc. Subcontractor (COGS)
"Gutter Alum Half Round 6""","Gutter - Half Round 6""","Gutter - Half Round 6""",Aluminum,Gutter,"Half Round 6""",LF,25.45,TRUE,Misc. Subcontractor (COGS)
"Gutter Cpr Half Round 6""","Gutter - Copper Half Round 6""","Gutter - Half Round 6""",Copper,Gutter,"Half Round 6""",LF,63.64,TRUE,Misc. Subcontractor (COGS)
"Gutter Alum K Style 5""","Gutter - K Style 5""","Gutter - K Style 5""",Aluminum,Gutter,"K Style 5""",LF,16.36,TRUE,Misc. Subcontractor (COGS)
"Gutter Cpr K Style 5""","Gutter - Copper K Style 5""","Gutter - K Style 5""",Copper,Gutter,"K Style 5""",LF,54.55,TRUE,Misc. Subcontractor (COGS)
"Gutter Alum K Style 6""","Gutter - K Style 6""","Gutter - K Style 6""",Aluminum,Gutter,"K Style 6""",LF,18.18,TRUE,Misc. Subcontractor (COGS)
"Gutter Cpr K Style 6""","Gutter - Copper K Style 6""","Gutter - K Style 6""",Copper,Gutter,"K Style 6""",LF,63.64,TRUE,Misc. Subcontractor (COGS)
Gutter Alum Leader Head,Gutter - Leader Head,Gutter - Leader Head,Aluminum,Accessory,,EA,227.27,TRUE,Misc. Subcontractor (COGS)
Gutter Cpr Leader Head,Gutter - Copper Leader Head,Gutter - Leader Head,Copper,Accessory,,EA,727.27,TRUE,Misc. Subcontractor (COGS)
"Gutter Alum Square Box 5""","Gutter - Square Box Gutter 5""","Gutter - Square Box Gutter 5""",Aluminum,Gutter,"Square Box Gutter 5""",LF,29.09,TRUE,Misc. Subcontractor (COGS)
"Gutter Cpr Sqre Box 5""","Gutter - Copper Square Box Gutter 5""","Gutter - Square Box Gutter 5""",Copper,Gutter,"Square Box Gutter 5""",LF,72.73,TRUE,Misc. Subcontractor (COGS)
